ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
IE00BWT6H894	GBX	448	612	14525	23305	1.1056230981067126E9	1.1129962883501394E9	1119500000	1099500000
CH0012335540	CHF	49	71	3058	4884	7678145.8469587965	7753312.858312858	7750000	7700000
GB00B39J2M42	GBX	512	445	144226	134714	1.0776142408442307E8	1.0872055688347165E8	108950000	108050000
GB00BLY2F708	GBX	35	53	127408	194894	5967292.477709406	6062881.309840221	6040000	6000000
SE0003366871	SEK	0	11	0	32802	0.0	182000.0	0	182000
CH0002432174	CHF	69	71	717	888	4.208769874476987E7	4.249594594594595E7	42400000	42160000
CH0530235594	CHF	41	40	3099	3127	5443368.828654405	5541071.31435881	5530000	5480000
GB0008782301	GBX	487	584	751318	872700	1.5333082669388995E7	1.5673478205568925E7	15435000	15340000
FI0009003230	EUR	0	11	0	150612	0.0	72000.0	0	72000
SE0000862997	SEK	11	0	341	0	1.246E7	0.0	12460000	0
ES0113860A34	EUR	4	0	564	0	74955.99290780142	0.0	75020	0
US55315J1025	USD	65	64	13917	17432	2770050.2981964503	2822207.0904084444	2802000	2783000
GB00BYYW3C20	GBX	46	49	43256	55760	2.679203000739782E7	2.7179954268292684E7	27100000	26850000
CH0025343259	CHF	28	49	970	2176	1.114480412371134E7	1.248076286764706E7	11280000	11180000
GB00B7N0K053	GBX	80	63	155648	148229	1.1382392321134869E7	1.1739822301978694E7	11540000	11500000
GB0003308607	GBX	259	263	16474	17598	3.408074602403788E8	3.43580912603705E8	342900000	341200000
CH0371153492	CHF	92	72	6791	5835	5791619.05463113	6131572.407883462	6135000	6035000
GB00B19NLV48	GBX	416	592	41698	61575	3.150049834524438E8	3.1802379374746245E8	317800000	314600000
IE00B42TW061	GBX	10	13	7000	8248	7.4225E8	7.467826139670223E8	744000000	744600000
GB0008706128	GBX	514	645	2901961	2474369	5178290.677579747	5518130.967935664	5352000	5290000
IT0005239360	EUR	0	11	0	385	0.0	1500000.0	0	1500000
MISSING	MISSING	23	26	4600	5200	4.109519130434783E7	4.111717692307692E7	41132000	41057000
CH0012453913	CHF	68	102	3576	5386	1.075972119686801E7	1.1642721871518752E7	11130000	11025000
US67812M2070	USD	86	45	48950	39385	724936.7231869254	743011.9233210613	745000	736400
SG9999003735	GBX	39	40	1919	1408	4.995161542470037E8	5.065660511363636E8	503000000	502000000
GB00BLWDVP51	GBX	49	60	7656	16112	1.0492115987460814E8	1.17115317775571E8	106400000	105200000
CH0238627142	CHF	63	58	1325	1500	2.8449396226415094E7	2.89833E7	29050000	28650000
GB0002395811	GBX	33	48	4928	6287	2.146283482142857E8	2.189660410370606E8	216500000	216500000
JE00BJVNSS43	GBX	549	711	16474	21835	1.1481546679616365E9	1.1624217082665446E9	1164000000	1154500000
BE0003816338	EUR	0	11	0	1441	0.0	994000.0	0	994000
GB0004228648	GBX	46	88	5974	8110	2.0614571476397723E8	2.1113199753390875E8	209500000	205500000
GB0007668071	GBX	54	66	11953	13051	1.2985791851418054E8	1.3116829361734733E8	131700000	129600000
US7960508882	USD	186	175	2238	6885	1.4464059428060767E8	1.8025698620188817E8	152550000	152200000
GB00B8SC6K54	GBX	62	52	296898	218183	1.391296876368315E7	1.4414026757355064E7	14420000	14340000
GB00B71N6K86	GBX	471	477	185385	181287	5.0631948215875074E7	5.117111022853266E7	51400000	50600000
GB00BLDYK618	GBX	489	466	138668	129351	1.0610604321112297E8	1.0845246731760868E8	108600000	106300000
GB0003466074	GBX	20	22	7219	7310	8.688474858013575E7	8.842971272229822E7	87100000	87700000
GB0007323586	GBX	78	64	5817	3605	4.760584493725288E8	5.034963661581137E8	490200000	483800000
CH0012684657	CHF	51	64	3161	3017	7299633.0275229355	7730000.0	7730000	7660000
LU1650492173	GBX	11	11	47300	47300	1.179490909090909E8	1.1803818181818181E8	118220000	117820000
GB0031274896	GBX	221	296	250691	402171	2.1061842906207245E7	2.3153558983616423E7	21470000	21310000
GB0009633180	GBX	395	459	26510	30364	4.1748693323274237E8	4.217048214991437E8	424200000	417000000
GB00B012BV22	GBX	52	33	18178	10798	7.01247662009022E7	7.1105422300426E7	70750000	70600000
GB0009887422	GBX	32	53	30310	41422	3.600637281425272E7	3.633718120805369E7	36560000	35980000
CH0003541510	CHF	36	52	153	232	1.7728366013071895E8	1.7936637931034482E8	178800000	177800000
GI000A0F6407	GBX	38	37	30306	37708	2.5488605556655448E7	2.5856648986952372E7	26000000	25520000
BMG4209G2077	GBX	26	44	40762	55551	2.1880539473038614E7	2.2207139385429606E7	22150000	22050000
GB0005603997	GBX	510	470	609680	541100	2.904380440558982E7	2.926488301607836E7	29210000	29120000
GB00BK9RKT01	GBX	197	265	35116	46552	1.4717624302312335E8	1.4843399961333564E8	148550000	147300000
GB00BNK9TP58	GBX	34	25	42848	39142	1.689919016056759E7	1.7242047417096727E7	17400000	16890000
GB0007816068	GBX	56	67	37688	46653	8.753500849076629E7	8.849154395215742E7	88300000	88000000
GB0002074580	GBX	37	47	3321	4780	3.718903342366757E8	3.748932635983264E8	377800000	369600000
CH0468525222	CHF	35	85	1220	2019	1.2176901639344262E7	1.2631609707776127E7	12380000	12200000
GB00BP6MXD84	GBX	864	802	211380	272600	1.9400062787397105E8	2.0138638539985326E8	197100000	194780000
GB0000961622	GBX	46	37	39264	40230	2.579974174816626E7	2.6085171265224956E7	26000000	25880000
JE00B248KJ21	GBX	28	35	18229	17166	3.841963355093532E7	3.924796108586741E7	38700000	38800000
GB00B019KW72	GBX	456	465	376264	414430	2.8992591185975805E7	2.9246922568346888E7	29170000	29060000
GB00BMT9K014	GBX	16	32	17986	21129	3.0664234404536862E7	3.1200031236688912E7	31120000	30820000
DE0007500001	EUR	11	11	4455	8393	808000.0	1275000.0	808000	1275000
GB0004161021	GBX	59	50	164046	121607	1.4676716104019605E7	1.4812449694507718E7	14790000	14700000
US87238U2033	USD	47	35	2969	2917	6700920.175143146	6890121.357559136	6994000	6712000
GB0031232498	GBX	29	49	17759	25300	4.563840587870938E7	4.651747628458498E7	46600000	45800000
GB00BMTV7393	GBX	170	264	241168	316529	1.2213412600344988E7	1.2376440831645757E7	12660000	11990000
GB00B1FP6H53	GBX	37	50	28325	48538	2.546299523389232E7	2.5814641311961763E7	25700000	25580000
GB00B572ZV91	GBX	33	31	381903	377368	2578172.755909223	2627003.7735049077	2635000	2585000
GB00BHJYC057	GBX	561	670	25794	30570	4.836491315809878E8	4.873753909061171E8	489000000	482400000
GB00BKDTK925	GBX	56	43	49735	40731	2.3086927515833918E7	2.3424829245537795E7	23420000	23060000
GB00BP37WF17	GBX	35	66	31539	55628	3.2728548780874472E7	3.3247760120802473E7	33050000	32750000
GB0002634946	GBX	679	704	384994	407274	5.726577338867619E7	5.818481670816207E7	57760000	57440000
GB00B0YG1K06	GBX	31	25	74857	75223	9994027.545854095	1.0129000970447868E7	10080000	10040000
DE0005565204	EUR	0	11	0	253	0.0	4390000.0	0	4390000
GB0030517261	GBX	66	77	35062	42140	1.1526648793565683E8	1.1692646891314666E8	116800000	115800000
GB00B67G5X01	GBX	42	64	9632	13173	8.128511212624584E7	8.23855803537539E7	82150000	81550000
CH0019107025	CHF	15	26	358	416	1.9316312849162012E7	1.965283653846154E7	19540000	19400000
GB0002374006	GBX	884	861	100032	101197	3.7797406230006397E8	3.812213983616115E8	380450000	379500000
NL0000235190	EUR	0	22	0	209	0.0	1.2242105263157895E7	0	11800000
AU000000BHP4	GBX	199	105	155406	53487	2.419731200854536E8	2.5572897900424403E8	247300000	245050000
GB0007908733	GBX	583	597	122181	119162	1.594229299154533E8	1.6182580688474515E8	161100000	160550000
BMG5361W1047	GBX	66	43	22453	18822	5.441828708858504E7	5.500248645202423E7	55000000	54500000
CH0012410517	CHF	112	118	5835	5918	1.572054498714653E7	1.633051030753633E7	16090000	16000000
NL0011832936	CHF	38	45	3797	4572	5486800.105346326	5572071.303587052	5540000	5520000
GB0033986497	GBX	430	432	927423	996030	1.1243026585495507E7	1.146890801983876E7	11355000	11255000
FR0007054358	EUR	11	11	12100	12100	4165818.1818181816	4177454.5454545454	4179500	4166500
AU000000S320	GBX	44	115	79963	171676	2.0970987206583045E7	2.1297148407465227E7	21250000	21050000
US71922G2093	USD	65	46	11012	13446	1967641.2095895386	2017874.3864346275	2004000	1973000
GB00BG11K365	GBX	38	50	18607	20931	6.276694362336755E7	6.425416941378816E7	63560000	62920000
GB00BDD85M81	GBX	471	396	192143	150818	6.064575050873568E7	6.1116283600100785E7	60940000	60780000
GB0006436108	GBX	74	65	11501	9740	1.8558485349100077E8	1.8887745379876795E8	187400000	187200000
CH0010570767	CHF	73	63	186	158	1.076268817204301E9	1.110512658227848E9	1109000000	1101000000
ES0113900J37	EUR	3	22	131	1100	318566.41221374046	340000.0	318700	340000
GB00BM8Q5M07	GBX	412	561	479084	619213	1.8488756940327793E7	1.8628509285173275E7	18765000	18420000
FR0000054470	EUR	1	0	15	0	5196000.0	0.0	5196000	0
GB0002162385	GBX	645	561	452644	365192	4.386430318307544E7	4.413605793664703E7	44050000	43880000
GB0007980591	GBX	937	1349	943823	1482904	3.8403012111381054E7	4.079159795913964E7	39395000	39080000
CH0100837282	CHF	46	59	1138	1249	2.613462214411248E7	2.646961569255404E7	26350000	26300000
CH0038388911	CHF	24	15	1548	875	7639912.790697674	8757965.714285715	8665000	8655000
GB00BFZNLB60	GBX	37	44	21603	24702	3.2358615007174928E7	3.281451137559712E7	32740000	32520000
GB00BNG2M159	GBX	48	94	62700	117922	2.8234298245614037E7	2.8909092450942148E7	28600000	28400000
GB00B0744359	GBX	27	57	23121	61377	3.350627351758142E7	3.65391237760073E7	33800000	33750000
GB0004726096	GBX	44	44	59725	56013	2.4440926245290916E7	2.479408672986628E7	24680000	24520000
CH0038389992	CHF	71	76	7881	15761	6438264.814109884	7212578.1993528325	6715000	6680000
CH0011432447	CHF	31	60	4294	5165	4294700.978108989	4378396.127783156	4360000	4286000
FR0010468983	EUR	10	11	12000	13200	3825050.0	3833181.8181818184	3850500	3812000
CH0012032048	CHF	782	808	16612	17337	3.40770494221045E7	3.538557160985176E7	34915000	34685000
GB00B635TG28	GBX	43	92	543507	1099122	2019941.4671752157	2141815.790239846	2050000	2025000
GB00BGXQNP29	GBX	473	576	160759	192201	6.651851380016049E7	6.733325716307408E7	66980000	66700000
GB00BJHPLV88	GBX	48	49	40460	34474	2.5775802273850717E7	2.616544932412833E7	26180000	25860000
